,word,percent
0,become part,5.263157894736842
1,build model,13.157894736842104
2,discover insight,5.263157894736842
3,analyze large,7.894736842105263
4,identify pattern,5.263157894736842
5,developing fraud,5.263157894736842
6,predictive model,13.157894736842104
7,fraud detection,5.263157894736842
8,solving problem,13.157894736842104
9,"phd statistics,",10.526315789473683
10,"statistics, applied",10.526315789473683
11,"applied math,",7.894736842105263
12,"neural networks,",5.263157894736842
13,"decision trees,",7.894736842105263
14,open source,13.157894736842104
15,cloud computing,5.263157894736842
16,collaborate closely,5.263157894736842
17,solution problems.,5.263157894736842
18,"learning, mining,",5.263157894736842
19,solve problems.,5.263157894736842
20,python r.,5.263157894736842
21,desired skills:,5.263157894736842
22,"clear, precise",5.263157894736842
23,precise actionable,5.263157894736842
24,associated topics:,5.263157894736842
25,"topics: analytic,",5.263157894736842
26,"scientist, warehouse,",5.263157894736842
27,"warehouse, warehousing,",5.263157894736842
28,responsibility include,5.263157894736842
29,identify opportunity,7.894736842105263
30,functional team,5.263157894736842
31,candidate comfortable,5.263157894736842
32,tool technique,5.263157894736842
33,current future,5.263157894736842
34,lockheed martin,13.157894736842104
35,internal external,5.263157894736842
36,artificial intelligence,13.157894736842104
37,designing efficient,5.263157894736842
38,efficient algorithm,5.263157894736842
39,programming language,26.31578947368421
40,"decision tree,",5.263157894736842
41,neural network,7.894736842105263
42,"language r,",5.263157894736842
43,visualization tool,10.526315789473683
44,opportunity/affirmative action,5.263157894736842
45,action employer.,7.894736842105263
46,qualified applicant,18.421052631578945
47,applicant receive,13.157894736842104
48,receive consideration,13.157894736842104
49,consideration without,10.526315789473683
50,without regard,15.789473684210526
51,"regard race,",15.789473684210526
52,"race, color,",23.684210526315788
53,"color, religion,",15.789473684210526
54,"religion, sex,",21.052631578947366
55,"pregnancy, sexual",7.894736842105263
56,"sexual orientation,",23.684210526315788
57,"orientation, gender",7.894736842105263
58,"gender identity,",15.789473684210526
59,"identity, national",5.263157894736842
60,"national origin,",28.947368421052634
61,protected veteran,7.894736842105263
62,"veteran status,",13.157894736842104
63,around world,5.263157894736842
64,"experience, please",5.263157894736842
65,talent intelligence,5.263157894736842
66,silicon valley,5.263157894736842
67,natural language,15.789473684210526
68,language processing,5.263157894736842
69,highly collaborative,5.263157894736842
70,approach solving,5.263157894736842
71,"design, implement,",5.263157894736842
72,engineering team,7.894736842105263
73,large datasets,13.157894736842104
74,"google, amazon,",5.263157894736842
75,large set,10.526315789473683
76,modeling technique,5.263157894736842
77,"language processing,",5.263157894736842
78,would also,5.263157894736842
79,also added,5.263157894736842
80,added advantage.,5.263157894736842
81,"mathematical optimization,",5.263157894736842
82,please apply,5.263157894736842
83,"sex, national",5.263157894736842
84,"origin, disability,",5.263157894736842
85,"status, characteristic",5.263157894736842
86,characteristic protected,10.526315789473683
87,protected law.,15.789473684210526
88,united state,10.526315789473683
89,currently seeking,7.894736842105263
90,impeccable attention,5.263157894736842
91,solve problem,5.263157894736842
92,communicate result,5.263157894736842
93,"design, develop,",7.894736842105263
94,attention detail,10.526315789473683
95,"operation research,",18.421052631578945
96,"research, statistic",5.263157894736842
97,statistic discipline,5.263157894736842
98,"mathematics, statistics,",5.263157894736842
99,programming skill,5.263157894736842
100,refined via,5.263157894736842
101,via professional,5.263157894736842
102,"professional experience,",5.263157894736842
103,"experience, phd",5.263157894736842
104,"phd research,",5.263157894736842
105,"research, collaboration",5.263157894736842
106,collaboration impactful,5.263157894736842
107,impactful open,5.263157894736842
108,source well-known,5.263157894736842
109,well-known predictive,5.263157894736842
110,predictive modeling,15.789473684210526
111,modeling open,5.263157894736842
112,open competition,5.263157894736842
113,please contact:,5.263157894736842
114,"dallas, texas",5.263157894736842
115,judge group,10.526315789473683
116,innovative solution,5.263157894736842
117,leading professional,5.263157894736842
118,professional service,5.263157894736842
119,wide range,7.894736842105263
120,developing solution,5.263157894736842
121,subject matter,13.157894736842104
122,matter expert,7.894736842105263
123,"researches, develops,",5.263157894736842
124,tactical strategic,5.263157894736842
125,best practice,13.157894736842104
126,"analysis, development,",5.263157894736842
127,best practices.,7.894736842105263
128,tool technology,5.263157894736842
129,thought leader,5.263157894736842
130,continue build,5.263157894736842
131,"bachelor statistics,",5.263157894736842
132,"statistics, mathematics",5.263157894736842
133,skill required:,5.263157894736842
134,"knowledge, skills,",5.263157894736842
135,"skills, ability",5.263157894736842
136,three year,7.894736842105263
137,solving skills.,7.894736842105263
138,selected subject,5.263157894736842
139,background investigation,5.263157894736842
140,investigation meet,5.263157894736842
141,meet eligibility,5.263157894736842
142,comprehensive benefit,5.263157894736842
143,benefit package,5.263157894736842
144,posted applicantpro,10.526315789473683
145,minimum 5,5.263157894736842
146,5 year,5.263157894736842
147,big computing,5.263157894736842
148,computing infrastructure,5.263157894736842
149,infrastructure aws,5.263157894736842
150,aws s3,5.263157894736842
151,fast paced,5.263157894736842
152,apply mining,5.263157894736842
153,effort predictive,5.263157894736842
154,"predictive modeling,",5.263157894736842
155,predictive models.,5.263157894736842
156,"language (r,",5.263157894736842
157,"(r, python,",10.526315789473683
158,preferred qualifications:,10.526315789473683
159,"python, r,",13.157894736842104
160,survice engineering,7.894736842105263
161,naval air,5.263157894736842
162,decision data.,5.263157894736842
163,write tool,5.263157894736842
164,tool assist,5.263157894736842
165,flight test,7.894736842105263
166,test simulation,7.894736842105263
167,simulation runs.,5.263157894736842
168,ass effectiveness,5.263157894736842
169,effectiveness accuracy,5.263157894736842
170,accuracy source,5.263157894736842
171,implement performance,5.263157894736842
172,excellent written,5.263157894736842
