,word,percent
0,role,34.21052631578947
1,large,68.42105263157895
2,build,68.42105263157895
3,model,100.0
4,analyze,31.57894736842105
5,insight,73.68421052631578
6,strategic,31.57894736842105
7,identify,57.89473684210527
8,developing,36.84210526315789
9,predictive,73.68421052631578
10,decision,39.473684210526315
11,solving,42.10526315789473
12,problem,34.21052631578947
13,qualifications:,36.84210526315789
14,phd,34.21052631578947
15,"statistics,",50.0
16,applied,39.473684210526315
17,mining,44.73684210526316
18,modeling,63.1578947368421
19,expertise,34.21052631578947
20,sql,34.21052631578947
21,programming,68.42105263157895
22,one,47.368421052631575
23,language,73.68421052631578
24,"r,",36.84210526315789
25,open,31.57894736842105
26,source,47.368421052631575
27,python,50.0
28,cloud,44.73684210526316
29,solution,94.73684210526315
30,best,52.63157894736842
31,apply,36.84210526315789
32,approach,31.57894736842105
33,"engineering,",44.73684210526316
34,"mathematics,",34.21052631578947
35,demonstrated,44.73684210526316
36,"learning,",44.73684210526316
37,"modeling,",31.57894736842105
38,proficiency,36.84210526315789
39,data.,39.473684210526315
40,communicate,52.63157894736842
41,database,44.73684210526316
42,individual,31.57894736842105
43,responsibility,34.21052631578947
44,stakeholder,36.84210526315789
45,opportunity,34.21052631578947
46,deliver,39.473684210526315
47,candidate,31.57894736842105
48,team,47.368421052631575
49,help,55.26315789473685
50,relevant,36.84210526315789
51,tool,71.05263157894737
52,technique,57.89473684210527
53,"analysis,",50.0
54,visualization,39.473684210526315
55,reporting,36.84210526315789
56,drive,44.73684210526316
57,•,50.0
58,intelligence,34.21052631578947
59,big,68.42105263157895
60,algorithm,42.10526315789473
61,"python,",50.0
62,project,42.10526315789473
63,network,31.57894736842105
64,process,34.21052631578947
65,result,42.10526315789473
66,applicant,31.57894736842105
67,"color,",31.57894736842105
68,national,39.473684210526315
69,"status,",34.21052631578947
70,performance,71.05263157894737
71,u,42.10526315789473
72,engineering,63.1578947368421
73,building,55.26315789473685
74,"design,",31.57894736842105
75,year,105.26315789473684
76,etc.,47.368421052631575
77,statistic,31.57894736842105
78,technology,42.10526315789473
79,health,65.78947368421053
80,employer,31.57894736842105
81,"disability,",31.57894736842105
82,able,55.26315789473685
83,key,50.0
84,/,44.73684210526316
85,excellent,39.473684210526315
86,skill,105.26315789473684
87,value,36.84210526315789
88,create,47.368421052631575
89,professional,50.0
90,innovative,31.57894736842105
91,service,71.05263157894737
92,office,31.57894736842105
93,"management,",47.368421052631575
94,master,36.84210526315789
95,"development,",31.57894736842105
96,various,36.84210526315789
97,system,78.94736842105263
98,leader,34.21052631578947
99,qualification,31.57894736842105
100,minimum,34.21052631578947
101,education,31.57894736842105
102,deep,31.57894736842105
103,leadership,31.57894736842105
104,:,34.21052631578947
105,member,34.21052631578947
106,requirement,57.89473684210527
107,financial,36.84210526315789
108,provides,31.57894736842105
