,0,1
0,machine learning,4.539201539201539
1,san francisco,4.450769230769231
2,general dynamics,4.428571428571429
3,leading provider,4.130252100840336
4,/affirmative action,4.070422535211268
5,written communication,4.049185463659148
6,based,2.4797979797979797
7,service,2.3727272727272726
8,highly,2.36231884057971
9,platform,2.3472222222222223
10,functional,2.3448275862068964
11,mobile,2.272727272727273
12,system,2.2532467532467533
13,database,2.2436974789915967
14,cloud,2.2322274881516586
15,processing,2.2280701754385963
16,linux,2.220779220779221
17,high-,2.219917012448133
18,high,2.219917012448133
19,environments,2.2134831460674156
20,complex,2.2048192771084336
21,current,2.2
22,program,2.1772151898734178
23,scale,2.1717171717171717
24,learning,2.168831168831169
25,platforms,2.1683168316831685
26,network,2.1414141414141414
27,marketing,2.1311475409836067
28,performance,2.1161048689138577
29,control,2.1
30,written,2.0952380952380953
31,project,2.0944444444444446
32,enterprise,2.088235294117647
33,distributed,2.076923076923077
34,writing,2.075
35,security,2.0594059405940595
36,production,2.046153846153846
37,plan,2.046153846153846
38,communications,2.0422535211267605
39,leading,2.042016806722689
40,test,2.039877300613497
41,scripting,2.0350877192982457
42,environment,2.0332326283987916
43,web,2.018348623853211
44,multiple,2.018181818181818
45,growing,2.0
46,core,2.0
47,offer,1.9857142857142858
48,code,1.985611510791367
49,issues,1.9797297297297298
50,operational,1.9714285714285715
51,sales,1.9705882352941178
52,problems,1.9683544303797469
53,sql,1.9591836734693877
54,global,1.956896551724138
55,communication,1.9539473684210527
56,analytical,1.9473684210526316
57,ms,1.9411764705882353
58,hardware,1.9393939393939394
59,manufacturing,1.9175257731958764
60,excellent,1.9166666666666667
61,compensation,1.9148936170212767
62,algorithms,1.9148936170212767
63,customer,1.9144981412639406
64,solution,1.9076923076923078
65,operating,1.9047619047619047
66,improvement,1.9047619047619047
67,intelligence,1.9038461538461537
68,etl,1.9038461538461537
69,management,1.9023569023569022
70,defense,1.8979591836734695
71,personal,1.8888888888888888
72,strong,1.8862876254180603
73,background,1.8860759493670887
74,testing,1.8802083333333333
75,reports,1.88
76,motivated,1.8679245283018868
77,senior,1.8627450980392157
78,effectively,1.8615384615384616
